"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude","country_code_2","Flag"
"Sweden",2016,"Finland",12,"Jury","High","FIN",61.9241,25.7482,"fi","https://public.flourish.studio/country-flags/svg/fi.svg"
"Sweden",2016,"Denmark",4,"Jury","Low","DNK",56.2639,9.5018,"dk","https://public.flourish.studio/country-flags/svg/dk.svg"
"Sweden",2016,"France",5,"Jury","Low","FRA",46.6034,2.2137,"fr","https://public.flourish.studio/country-flags/svg/fr.svg"
"Sweden",2016,"Moldova",6,"Jury","Low","MDA",47.4116,28.3699,"md","https://public.flourish.studio/country-flags/svg/md.svg"
"Sweden",2016,"Netherlands",10,"Jury","High","NLD",52.1326,5.2913,"nl","https://public.flourish.studio/country-flags/svg/nl.svg"
"Sweden",2016,"Latvia",8,"Jury","High","LVA",56.8796,24.6032,"lv","https://public.flourish.studio/country-flags/svg/lv.svg"
"Sweden",2016,"Belarus",8,"Jury","High","BLR",53.9006,27.5766,"by","https://public.flourish.studio/country-flags/svg/by.svg"
"Sweden",2016,"Germany",10,"Jury","High","DEU",51.1657,10.4515,"de","https://public.flourish.studio/country-flags/svg/de.svg"
"Sweden",2016,"Estonia",12,"Jury","High","EST",58.5953,25.0136,"ee","https://public.flourish.studio/country-flags/svg/ee.svg"
"Sweden",2016,"Ukraine",4,"Jury","Low","UKR",48.3794,31.1656,"ua","https://public.flourish.studio/country-flags/svg/ua.svg"
"Sweden",2016,"Italy",2,"Jury","Low","ITA",41.8719,12.5674,"it","https://public.flourish.studio/country-flags/svg/it.svg"
"Sweden",2016,"Hungary",4,"Jury","Low","HUN",47.1625,19.5033,"hu","https://public.flourish.studio/country-flags/svg/hu.svg"
"Germany",2016,"Georgia",1,"Jury","Low","GEO",42.3154,43.3569,"ge","https://public.flourish.studio/country-flags/svg/ge.svg"
"France",2016,"Austria",7,"Jury","Low","AUT",47.5162,14.5501,"at","https://public.flourish.studio/country-flags/svg/at.svg"
"France",2016,"Iceland",2,"Jury","Low","ISL",64.9631,-19.0208,"is","https://public.flourish.studio/country-flags/svg/is.svg"
"France",2016,"Czech Republic",5,"Jury","Low","CZE",49.8175,15.473,"cz","https://public.flourish.studio/country-flags/svg/cz.svg"
"France",2016,"Ireland",3,"Jury","Low","IRL",53.4129,-8.2439,"ie","https://public.flourish.studio/country-flags/svg/ie.svg"
"France",2016,"Georgia",4,"Jury","Low","GEO",42.3154,43.3569,"ge","https://public.flourish.studio/country-flags/svg/ge.svg"
"France",2016,"Bosnia and Herzegovina",7,"Jury","Low","BIH",43.9159,17.6791,"ba","https://public.flourish.studio/country-flags/svg/ba.svg"
"France",2016,"Malta",6,"Jury","Low","MLT",35.9375,14.3754,"mt","https://public.flourish.studio/country-flags/svg/mt.svg"
"France",2016,"Spain",7,"Jury","Low","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
"France",2016,"Finland",1,"Jury","Low","FIN",61.9241,25.7482,"fi","https://public.flourish.studio/country-flags/svg/fi.svg"
"France",2016,"Armenia",12,"Jury","High","ARM",40.0691,45.0382,"am","https://public.flourish.studio/country-flags/svg/am.svg"
"France",2016,"Cyprus",7,"Jury","Low","CYP",35.1264,33.4299,"cy","https://public.flourish.studio/country-flags/svg/cy.svg"
"France",2016,"Netherlands",5,"Jury","Low","NLD",52.1326,5.2913,"nl","https://public.flourish.studio/country-flags/svg/nl.svg"
"France",2016,"Israel",8,"Jury","High","ISR",31.0461,34.8516,"il","https://public.flourish.studio/country-flags/svg/il.svg"
"France",2016,"Russia",7,"Jury","Low","RUS",61.524,105.3188,"ru","https://public.flourish.studio/country-flags/svg/ru.svg"
"France",2016,"Australia",6,"Jury","Low","AUS",-25.2744,133.7751,"au","https://public.flourish.studio/country-flags/svg/au.svg"
"France",2016,"Belgium",8,"Jury","High","BEL",50.5039,4.4699,"be","https://public.flourish.studio/country-flags/svg/be.svg"
"France",2016,"United Kingdom",6,"Jury","Low","GBR",55.3781,-3.436,"gb","https://public.flourish.studio/country-flags/svg/gb.svg"
"France",2016,"Croatia",8,"Jury","High","HRV",45.1,15.2,"hr","https://public.flourish.studio/country-flags/svg/hr.svg"
"France",2016,"Greece",6,"Jury","Low","GRC",39.0742,21.8243,"gr","https://public.flourish.studio/country-flags/svg/gr.svg"
"France",2016,"Lithuania",1,"Jury","Low","LTU",55.1694,23.8813,"lt","https://public.flourish.studio/country-flags/svg/lt.svg"
"France",2016,"Albania",10,"Jury","High","ALB",41.1533,20.1683,"al","https://public.flourish.studio/country-flags/svg/al.svg"
"France",2016,"Estonia",1,"Jury","Low","EST",58.5953,25.0136,"ee","https://public.flourish.studio/country-flags/svg/ee.svg"
"France",2016,"Italy",7,"Jury","Low","ITA",41.8719,12.5674,"it","https://public.flourish.studio/country-flags/svg/it.svg"
"France",2016,"Poland",1,"Jury","Low","POL",51.9194,19.1451,"pl","https://public.flourish.studio/country-flags/svg/pl.svg"
"France",2016,"Montenegro",5,"Jury","Low","MNE",42.7087,19.3744,"me","https://public.flourish.studio/country-flags/svg/me.svg"
"France",2016,"Sweden",8,"Jury","High","SWE",60.1282,18.6435,"se","https://public.flourish.studio/country-flags/svg/se.svg"
